1986.0,10.0,2.29891
1986.0,11.0,2.6883
1986.0,12.0,2.49527
1987.0,1.0,2.8134
1987.0,2.0,2.55407
1987.0,3.0,2.70582
1987.0,4.0,3.09649
1987.0,5.0,2.86779
1987.0,6.0,2.39073
1987.0,7.0,2.25153
1987.0,8.0,2.65243
1987.0,9.0,2.85175
1987.0,10.0,4.50243
1987.0,11.0,3.52386
1987.0,12.0,3.32935
1988.0,1.0,3.48615
1988.0,2.0,2.80613
1988.0,3.0,2.62904
1988.0,4.0,3.00132
1988.0,5.0,2.84482
1988.0,6.0,2.79444
1988.0,7.0,2.72288
1988.0,8.0,2.54529
1988.0,9.0,2.4556
1988.0,10.0,2.61301
1988.0,11.0,2.52575
1988.0,12.0,2.20539
1989.0,1.0,2.35072
1989.0,2.0,2.51098
1989.0,3.0,2.49186
1989.0,4.0,2.36257
1989.0,5.0,2.3959
1989.0,6.0,2.55169
1989.0,7.0,2.52528
1989.0,8.0,2.5102
1989.0,9.0,2.08443
1989.0,10.0,3.23525
1989.0,11.0,2.40654
1989.0,12.0,2.37342
1990.0,1.0,2.90986
1990.0,2.0,2.54047
1990.0,3.0,2.37959
1990.0,4.0,2.37537
1990.0,5.0,2.50351
1990.0,6.0,2.52391
1990.0,7.0,2.50336
1990.0,8.0,3.25711
1990.0,9.0,2.83444
1990.0,10.0,3.0211
1990.0,11.0,2.80883
1990.0,12.0,2.43185
1991.0,1.0,2.94701
1991.0,2.0,2.86353
1991.0,3.0,2.5872
1991.0,4.0,2.73524
1991.0,5.0,2.59382
1991.0,6.0,2.53012
1991.0,7.0,2.40812
1991.0,8.0,2.72363
1991.0,9.0,2.02287
1991.0,10.0,2.42272
1991.0,11.0,2.74023
1991.0,12.0,2.71597
1992.0,1.0,2.31101
1992.0,2.0,2.41881
1992.0,3.0,2.01048
1992.0,4.0,2.61917
1992.0,5.0,2.24836
1992.0,6.0,2.23775
1992.0,7.0,2.30332
1992.0,8.0,1.89672
1992.0,9.0,2.30284
1992.0,10.0,2.34213
1992.0,11.0,2.04606
1992.0,12.0,1.98992
1993.0,1.0,1.91713
1993.0,2.0,2.44616
1993.0,3.0,2.36185
1993.0,4.0,2.3828
1993.0,5.0,2.26755
1993.0,6.0,2.09431
1993.0,7.0,2.12774
1993.0,8.0,1.69956
1993.0,9.0,2.01398
1993.0,10.0,1.78785
1993.0,11.0,2.10426
1993.0,12.0,1.70712
1994.0,1.0,1.94784
1994.0,2.0,2.44126
1994.0,3.0,2.3112
1994.0,4.0,2.689
1994.0,5.0,2.23203
1994.0,6.0,2.26974
1994.0,7.0,1.88747
1994.0,8.0,2.02866
1994.0,9.0,2.27461
1994.0,10.0,2.439
1994.0,11.0,2.30427
1994.0,12.0,2.20072
1995.0,1.0,1.76087
1995.0,2.0,2.01702
1995.0,3.0,1.97511
1995.0,4.0,1.6965
1995.0,5.0,2.36535
1995.0,6.0,2.18128
1995.0,7.0,2.23304
1995.0,8.0,1.53459
1995.0,9.0,1.861
1995.0,10.0,2.01664
1995.0,11.0,2.05551
1995.0,12.0,2.27742
1996.0,1.0,2.52595
1996.0,2.0,2.5493
1996.0,3.0,2.66094
1996.0,4.0,2.37382
1996.0,5.0,2.4237
1996.0,6.0,1.96116
1996.0,7.0,2.80571
1996.0,8.0,2.42319
1996.0,9.0,2.29417
1996.0,10.0,2.1033
1996.0,11.0,2.18841
1996.0,12.0,2.64478
1997.0,1.0,2.51022
1997.0,2.0,2.65965
1997.0,3.0,2.77519
1997.0,4.0,2.91455
1997.0,5.0,2.73
1997.0,6.0,2.70924
1997.0,7.0,2.70752
1997.0,8.0,2.83046
1997.0,9.0,2.85173
1997.0,10.0,3.48634
1997.0,11.0,2.93269
1997.0,12.0,2.77384
1998.0,1.0,2.8833
1998.0,2.0,2.45057
1998.0,3.0,2.42035
1998.0,4.0,2.62421
1998.0,5.0,2.49362
1998.0,6.0,2.73514
1998.0,7.0,2.77336
1998.0,8.0,3.51316
1998.0,9.0,3.71109
1998.0,10.0,3.18708
1998.0,11.0,2.78691
1998.0,12.0,2.96008
1999.0,1.0,3.00445
1999.0,2.0,3.06239
1999.0,3.0,2.94977
1999.0,4.0,2.89111
1999.0,5.0,2.94891
1999.0,6.0,2.80311
1999.0,7.0,2.68393
1999.0,8.0,2.87365
1999.0,9.0,2.87356
1999.0,10.0,3.17085
1999.0,11.0,2.5949
1999.0,12.0,2.4242
2000.0,1.0,3.19963
2000.0,2.0,3.11201
2000.0,3.0,3.30917
2000.0,4.0,3.42282
2000.0,5.0,3.1949
2000.0,6.0,2.79677
2000.0,7.0,2.76989
2000.0,8.0,2.36021
2000.0,9.0,2.65284
2000.0,10.0,3.22937
2000.0,11.0,3.03769
2000.0,12.0,3.24339
2001.0,1.0,3.17828
2001.0,2.0,2.87008
2001.0,3.0,3.3564
2001.0,4.0,3.37862
2001.0,5.0,2.83548
2001.0,6.0,2.59334
2001.0,7.0,2.90496
2001.0,8.0,2.77695
2001.0,9.0,3.4295
2001.0,10.0,2.9571
2001.0,11.0,2.75154
2001.0,12.0,2.69032
2002.0,1.0,2.79292
2002.0,2.0,3.03328
2002.0,3.0,2.71768
2002.0,4.0,2.80059
2002.0,5.0,3.07705
2002.0,6.0,3.03441
2002.0,7.0,3.73776
2002.0,8.0,3.49104
2002.0,9.0,3.37452
2002.0,10.0,3.51972
2002.0,11.0,3.12638
2002.0,12.0,2.86563
2003.0,1.0,3.1935
2003.0,2.0,2.9704
2003.0,3.0,3.27865
2003.0,4.0,2.97361
2003.0,5.0,2.7644
2003.0,6.0,2.76421
2003.0,7.0,2.7264
2003.0,8.0,2.35144
2003.0,9.0,2.69195
2003.0,10.0,2.31208
2003.0,11.0,2.33405
2003.0,12.0,2.29678
2004.0,1.0,2.35643
2004.0,2.0,2.27697
2004.0,3.0,2.69345
2004.0,4.0,2.48014
2004.0,5.0,2.40588
2004.0,6.0,2.2344
2004.0,7.0,2.26897
2004.0,8.0,2.55395
2004.0,9.0,2.20626
2004.0,10.0,2.47142
2004.0,11.0,2.28231
2004.0,12.0,2.19856
2005.0,1.0,2.28526
2005.0,2.0,2.31733
2005.0,3.0,2.30367
2005.0,4.0,2.67542
2005.0,5.0,2.3584
2005.0,6.0,2.06595
2005.0,7.0,2.18259
2005.0,8.0,2.19643
2005.0,9.0,2.22547
2005.0,10.0,2.67318
2005.0,11.0,2.08576
2005.0,12.0,2.00417
